iter	Passed	Remaining
1465	12573	30309
1466	12581	30300
1467	12584	30277
1468	12593	30269
1469	12602	30262
1470	12607	30246
1471	12616	30239
1472	12625	30231
1473	12627	30207
1474	12638	30204
1475	12644	30189
1476	12653	30181
1477	12662	30173
1478	12669	30161
1479	12677	30150
1480	12686	30143
1481	12695	30136
1482	12704	30129
1483	12714	30124
1484	12723	30115
1485	12779	30220
1486	12790	30216
1487	12799	30208
1488	12809	30205
1489	12819	30198
1490	12827	30189
1491	12836	30182
1492	12842	30167
1493	12851	30158
1494	12873	30180
1495	12886	30182
1496	12899	30185
1497	12906	30172
1498	12913	30159
1499	12919	30144
1500	12927	30136
1501	12937	30129
1502	12948	30126
1503	12958	30121
1504	12967	30113
1505	12977	30107
1506	12986	30100
1507	12995	30093
1508	13005	30086
1509	13014	30079
1510	13024	30073
1511	13031	30061
1512	13040	30054
1513	13052	30053
1514	13059	30040
1515	13065	30026
1516	13071	30012
1517	13074	29989
1518	13083	29982
1519	13093	29976
1520	13102	29968
1521	13108	29954
1522	13118	29949
1523	13127	29941
1524	13136	29933
1525	13145	29925
1526	13155	29921
1527	13161	29906
1528	13170	29897
1529	13179	29890
1530	13184	29874
1531	13194	29869
1532	13206	29866
1533	13219	29868
1534	13230	29865
1535	13242	29864
1536	13255	29865
1537	13262	29853
1538	13271	29846
1539	13286	29850
1540	13297	29847
1541	13303	29832
1542	13313	29828
1543	13323	29821
1544	13332	29814
1545	13338	29801
1546	13344	29785
1547	13353	29776
1548	13362	29769
1549	13370	29761
1550	13380	29753
1551	13388	29745
1552	13400	29742
1553	13406	29729
1554	13416	29723
1555	13426	29716
1556	13435	29710
1557	13444	29703
1558	13454	29695
1559	13464	29690
1560	13473	29683
1561	13478	29667
1562	13481	29645
1563	13486	29629
1564	13495	29621
1565	13505	29614
1566	13510	29599
1567	13521	29596
1568	13528	29582
1569	13537	29575
1570	13546	29567
1571	13548	29545
1572	13554	29529
1573	13563	29522
1574	13572	29514
1575	13581	29507
1576	13592	29503
1577	13603	29499
1578	13610	29486
1579	13620	29481
1580	13625	29466
1581	13635	29459
1582	13640	29444
1583	13649	29436
1584	13655	29421
1585	13661	29406
1586	13669	29398
1587	13676	29384
1588	13681	29369
1589	13690	29361
1590	13699	29353
1591	13708	29346
1592	13719	29342
1593	13728	29334
1594	13737	29326
1595	13739	29304
1596	13741	29281
1597	13748	29269
1598	13758	29264
1599	13819	29367
1600	13833	29368
1601	13844	29365
1602	13856	29363
1603	13862	29349
1604	13872	29343
1605	13875	29323
1606	13886	29319
1607	13899	29320
1608	13912	29321
1609	13916	29301
1610	13931	29306
1611	13938	29296
1612	13947	29287
1613	13956	29279
1614	13962	29264
1615	13971	29257
1616	13973	29234
1617	13982	29227
1618	13988	29212
1619	13997	29205
1620	14000	29184
1621	14012	29182
1622	14033	29200
1623	14043	29193
1624	14050	29182
1625	14090	29237
1626	14125	29283
1627	14154	29317
1628	14189	29362
1629	14196	29350
1630	14207	29346
1631	14219	29344
1632	14226	29332
1633	14241	29337
1634	14267	29363
1635	14281	29366
1636	14284	29346
1637	14296	29342
1638	14307	29339
1639	14313	29326
1640	14325	29322
1641	14331	29309
1642	14343	29307
1643	14354	29302
1644	14365	29298
1645	14374	29290
1646	14386	29288
1647	14393	29275
1648	14399	29262
1649	14409	29255
1650	14418	29248
1651	14427	29239
1652	14436	29231
1653	14442	29216
1654	14447	29201
1655	14456	29192
1656	14465	29184
1657	14474	29176
1658	14483	29168
1659	14492	29159
1660	14502	29152
1661	14512	29146
1662	14521	29138
1663	14530	29130
1664	14539	29122
1665	14545	29107
1666	14554	29099
1667	14561	29087
1668	14572	29084
1669	14581	29075
1670	14588	29063
1671	14594	29049
1672	14596	29027
